term,gene
AMPK signaling pathway,STRADA
AMPK signaling pathway,CAB39
AMPK signaling pathway,PPP2R2C
AMPK signaling pathway,RPS6KB1
AMPK signaling pathway,CPT1C
AMPK signaling pathway,PFKP
AMPK signaling pathway,MTOR
AMPK signaling pathway,PPARG
AMPK signaling pathway,CREB3L1
AMPK signaling pathway,PDPK1
AMPK signaling pathway,PPP2R5B
AMPK signaling pathway,PPP2R3B
AMPK signaling pathway,ADIPOR1
AMPK signaling pathway,FOXO1
AMPK signaling pathway,PFKFB1
AMPK signaling pathway,PRKAB1
AMPK signaling pathway,TSC2
AMPK signaling pathway,PFKFB2
AMPK signaling pathway,PRKAG3
AMPK signaling pathway,PPP2R1A
AMPK signaling pathway,PCK2
AMPK signaling pathway,CREB1
AMPK signaling pathway,PIK3R1
AMPK signaling pathway,PCK1
AMPK signaling pathway,ULK1
AMPK signaling pathway,PPP2R2B
AMPK signaling pathway,IRS2
AMPK signaling pathway,GYS1
AMPK signaling pathway,RPS6KB2
AMPK signaling pathway,LIPE
AMPK signaling pathway,RAB8A
AMPK signaling pathway,PPP2R5D
AMPK signaling pathway,ADIPOQ
AMPK signaling pathway,PPP2R3C
AMPK signaling pathway,AKT2
AMPK signaling pathway,ACACB
AMPK signaling pathway,PPARGC1A
AMPK signaling pathway,CD36
AMPK signaling pathway,SIRT1
AMPK signaling pathway,PIK3CB
AMPK signaling pathway,CREB3L4
AMPK signaling pathway,PPP2R5E
AMPK signaling pathway,CREB3L3
AMPK signaling pathway,PFKFB4
AMPK signaling pathway,AKT1
AMPK signaling pathway,PFKFB3
AMPK signaling pathway,CPT1B
AMPK signaling pathway,INS
AMPK signaling pathway,PIK3R3
AMPK signaling pathway,FBP2
AMPK signaling pathway,EIF4EBP1
AMPK signaling pathway,CAMKK2
AMPK signaling pathway,PPP2R2D
AMPK signaling pathway,PIK3R2
AMPK signaling pathway,ELAVL1
AMPK signaling pathway,EEF2
AMPK signaling pathway,TBC1D1
AMPK signaling pathway,FOXO3
AMPK signaling pathway,TSC1
AMPK signaling pathway,PPP2R5C
AMPK signaling pathway,HMGCR
AMPK signaling pathway,AKT3
AMPK signaling pathway,PPP2CB
AMPK signaling pathway,PIK3CD
AMPK signaling pathway,CIDEA
